N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.002,1693.551607,single-single,1865828,12.7612,1865827,12.7612,799332,1.4541,-100,-100,-100,-100,0.0393033,14,14,6,-100,-100,1343.35,28.9706
16,0.5,2,0.002,1806.136048,single-single,1816774,13.3219,1816773,13.3219,820572,1.38765,-100,-100,-100,-100,0.0475485,14,14,6,-100,-100,1098.45,18.8611
16,0.5,2,0.002,1855.914132,single-single,1760775,13.3654,1760774,13.3654,165394,1.482,-100,-100,-100,-100,0.088415,14,14,4,-100,-100,388.751,20.1759
16,0.5,2,0.002,2361.434103,single-single,1766936,5.6594,2207141,5.6594,86935,1.38257,-100,-100,-100,-100,1.02777,14,14,2,-100,-100,118.642,20.6319
16,0.5,2,0.002,2529.625299,single-single,1707268,12.6976,1707267,12.6976,1436074,1.29591,-100,-100,-100,-100,0.0516843,14,14,4,-100,-100,162.698,31.1984
16,0.5,2,0.002,2631.896796,single-single,1724601,12.1183,1724600,12.1183,1092676,1.26831,-100,-100,-100,-100,0.144826,14,14,4,-100,-100,212.663,16.9264
16,0.5,2,0.002,2789.032092,single-single,2490262,12.2868,2490261,12.2868,953818,1.97831,-100,-100,-100,-100,0.0892582,14,14,4,-100,-100,538.169,13.8365
16,0.5,2,0.002,4185.153454,single-single,2354745,8.70878,674745,8.70878,738667,1.15507,-100,-100,-100,-100,0.268599,14,14,3,-100,-100,317.474,9.70443
16,0.5,2,0.002,4606.250574,single-single,1810348,12.7612,1865828,12.7612,130347,1.84205,-100,-100,-100,-100,0.078382,14,14,3,-100,-100,194.758,18.7662
16,0.5,2,0.002,6845.769056,single-single,1886846,11.312,1886845,11.312,1023714,1.34073,-100,-100,-100,-100,0.0660496,14,14,3,-100,-100,539.014,21.497
16,0.5,2,0.002,8744.305894,binary-single,1707941,12.8878,1707940,12.8878,344506,0.691347,-100,-100,-100,-100,0.103482,14,14,4,-100,-100,-100,-100
16,0.5,2,0.002,11628.50717,single-single,2077415,11.2281,672707,11.2281,397415,0.844765,-100,-100,-100,-100,0.0937855,14,14,3,-100,-100,388.712,25.7116
16,0.5,2,0.002,11889.9571,single-single,1720962,10.6551,1720961,10.6551,1060651,0.588743,-100,-100,-100,-100,0.158254,14,14,3,-100,-100,2877.4,6.06756
16,0.5,2,0.002,12076.58069,single-single,2103445,7.45521,2103444,7.45521,1258005,0.854046,-100,-100,-100,-100,0.172218,14,14,3,-100,-100,115.711,13.7055
16,0.5,2,0.002,12350.76701,binary-single,1909759,21.9102,776087,21.9102,229759,1.57325,-100,-100,-100,-100,0.0715727,14,14,3,-100,-100,-100,-100
16,0.5,2,0.002,12624.86488,binary-single,1689297,5.98802,1091760,5.98802,9297,0.839181,-100,-100,-100,-100,0.142776,14,14,2,-100,-100,-100,-100
16,0.5,2,0.002,13501.46508,single-single,2585983,8.21571,1503521,8.21571,905983,1.27054,-100,-100,-100,-100,0.0707334,14,14,3,-100,-100,285.614,14.74
16,0.5,2,0.02,6.110012178,single-single,2483785,11.9064,1254019,11.9064,803785,26.726,-100,-100,-100,-100,0.258859,14,14,4,-100,-100,1825.93,29.7355
